footprint,nstories,buildingheight,roofshape
"POLYGON ((-122.5259147 37.9248895, -122.5258144 37.9248847, -122.5258197 37.9248163, -122.5258415 37.9248174, -122.5258465 37.9247523, -122.5259084 37.9247553, -122.5259072 37.9247703, -122.5259239 37.9247711, -122.5259147 37.9248895))",2,53.1,Flat
"POLYGON ((-122.5307269 37.9267442, -122.5306426 37.9266658, -122.5305552 37.9267052, -122.5305798 37.9267415, -122.5304688 37.926789, -122.5305144 37.9268474, -122.5307269 37.9267442))",2,52.8,Hip
"POLYGON ((-122.5283394 37.927182, -122.5283711 37.9273104, -122.5282511 37.9273288, -122.5282194 37.9272004, -122.5283394 37.927182))",1,33.3,Flat
"POLYGON ((-122.5313485 37.9236359, -122.5314032 37.9235355, -122.5313854 37.9235295, -122.5314233 37.9234598, -122.5313427 37.9234325, -122.5313266 37.9234621, -122.5312801 37.9234464, -122.5312325 37.9235337, -122.5312816 37.9235503, -122.5312527 37.9236034, -122.5313485 37.9236359))",1,30.9,Gable
"POLYGON ((-122.4995951 37.9230744, -122.4997138 37.9230726, -122.4997147 37.9231069, -122.4997812 37.9231059, -122.4997844 37.9232311, -122.4996727 37.9232328, -122.4996732 37.9232531, -122.4995879 37.9232544, -122.4995842 37.9231057, -122.4995959 37.9231055, -122.4995951 37.9230744))",1,26.2,Gable
"POLYGON ((-122.4963758 37.9175472, -122.4963943 37.9175454, -122.4963881 37.9175066, -122.4964082 37.9175046, -122.4964121 37.9175289, -122.4964473 37.9175254, -122.4964431 37.9174995, -122.4964598 37.9174978, -122.4964653 37.9175318, -122.4965734 37.9175209, -122.4965892 37.9176185, -122.4965014 37.9176273, -122.4965027 37.9176355, -122.4963919 37.9176466, -122.4963758 37.9175472))",2,38.5,Flat
"POLYGON ((-122.5291925 37.9290674, -122.5290991 37.9290669, -122.5291003 37.9289088, -122.5292526 37.9289095, -122.5292519 37.9290096, -122.5291929 37.9290093, -122.5291925 37.9290674))",2,43.4,Flat
"POLYGON ((-122.5279392 37.9287362, -122.5279877 37.9287364, -122.5279873 37.9287949, -122.5279387 37.9287946, -122.5279392 37.9287362))",2,39.0,Flat
"POLYGON ((-122.5150854 37.9209536, -122.515057 37.921094, -122.5149718 37.9210832, -122.5150003 37.9209429, -122.5150854 37.9209536))",,,Flat
"POLYGON ((-122.5217461 37.9312052, -122.5216466 37.9313318, -122.5214937 37.931257, -122.5215329 37.9312072, -122.5215361 37.9312088, -122.521561 37.9311772, -122.5215984 37.9311955, -122.5216339 37.9311503, -122.5217461 37.9312052))",1,22.2,Gable
